file,model,language,n,has_boxed,extracted,correct,extracted_but_wrong,unparsed
logs/2026-07-02T08-14-57-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_b5PKwUDTLk6Cy4f2xMuShY.eval,vllm/google/gemma-3-12b-it,isl,500,500,500,392,108,0
logs/2026-07-02T08-19-16-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_FmsSNXm3fvgBF9nCSkaMNy.eval,vllm/google/gemma-3-27b-it,isl,500,499,499,399,100,0
logs/2026-07-02T08-24-53-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_iqqNsLzoEqpSA3LYNSXbmV.eval,vllm/swiss-ai/Apertus-8B-Instruct-2509,isl,500,303,343,98,245,0
logs/2026-07-22T07-29-55-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_eRw7gcWtGwdpdvhyZxWWyD.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,isl,500,29,282,3,279,0
logs/2026-07-22T08-14-26-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_PJiY8np9hXox9FyMUFK65h.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,isl,500,180,249,11,238,0
logs/2026-07-22T08-36-10-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_nTmT9pAixRhmhvESQzoHVp.eval,vllm/Qwen/Qwen2.5-3B-Instruct,isl,500,470,472,85,387,0
logs/2026-07-22T08-50-37-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_Vk8CGrBpz8jdC2r6ovjCjp.eval,vllm/Qwen/Qwen2.5-7B-Instruct,isl,500,500,499,203,296,0
logs/2026-07-22T08-59-03-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_bPmvBN7t287uYAbSqUeZrf.eval,vllm/Qwen/Qwen2.5-14B-Instruct,isl,500,499,499,318,181,0
logs/2026-07-22T09-05-47-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_HWGunxVNqqDS9vG4fUKbJT.eval,vllm/Qwen/Qwen2.5-32B-Instruct,isl,500,499,499,388,111,0
logs/2026-07-22T09-27-28-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_XSkcqREojREsrPPLLiYvyf.eval,vllm/Qwen/Qwen2.5-72B-Instruct,isl,500,500,500,398,102,0
logs/2026-07-22T09-33-09-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_65Lyc2S5KHkZqoAHoZ77vC.eval,vllm/Qwen/Qwen3-0.6B,isl,500,495,497,64,433,0
logs/2026-07-22T09-47-19-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_k5AaCRYKrusus5MBZJQMAf.eval,vllm/Qwen/Qwen3-0.6B,isl,500,471,491,19,472,0
logs/2026-07-22T09-54-26-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_FKhWakf5V8GQRBCafXPUbu.eval,vllm/Qwen/Qwen3-1.7B,isl,500,497,497,214,283,0
logs/2026-07-22T10-20-24-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@0850f21ea3197a67221af050c288883caabd36f6-synthetic-isl_PDHuK7CkqHdVoLBHZKE6ij.eval,vllm/Qwen/Qwen3-1.7B,isl,500,499,499,119,380,0
logs/2026-07-23T08-45-16-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-dan@refs-pr-16-synthetic-dan_HhJaZzw5A83AGAKQrBuecX.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,dan,500,131,209,6,203,0
logs/2026-07-23T08-45-16-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-eng@refs-pr-16-synthetic-eng_nZVM3dt4sqzUxtf65kGYXF.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,eng,500,493,493,187,306,0
logs/2026-07-23T08-45-17-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ara@refs-pr-16-synthetic-ara_J56pRTWL6ctZji34kpp6cs.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,ara,500,159,284,3,281,0
logs/2026-07-23T08-45-17-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-deu@refs-pr-16-synthetic-deu_VmCx8Rxng4ocGdwZWKFGMh.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,deu,500,393,402,29,373,0
logs/2026-07-23T08-45-17-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-fra@refs-pr-16-synthetic-fra_WXkG6y6zztmQ3VeNhoM8dd.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,fra,500,270,315,24,291,0
logs/2026-07-23T08-45-17-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-hin@refs-pr-16-synthetic-hin_76ijuuEAhReLWht4X7wPwM.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,hin,500,153,266,3,263,0
logs/2026-07-23T08-45-17-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@refs-pr-16-synthetic-isl_JTSNg3YhggyQVPXBepoZWG.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,isl,500,52,282,2,280,0
logs/2026-07-23T08-45-17-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ita@refs-pr-16-synthetic-ita_NoeVomcZUbkfjzJJiT2aqU.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,ita,500,326,360,18,342,0
logs/2026-07-23T08-45-17-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-mar@refs-pr-16-synthetic-mar_hr94XzUamxp4H72XmvFwZ7.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,mar,500,53,429,3,426,0
logs/2026-07-23T08-45-18-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-est@refs-pr-16-synthetic-est_WcKeAciNkfv8LkQM77rtH6.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,est,500,103,267,3,264,0
logs/2026-07-23T08-45-18-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-jpn@refs-pr-16-synthetic-jpn_UaeSFr8iWPedHnvqz8xEWu.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,jpn,500,153,190,10,180,0
logs/2026-07-23T08-45-18-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-nld@refs-pr-16-synthetic-nld_Nt3x3Ng8vZdNtQKe7AWytn.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,nld,500,280,346,26,320,0
logs/2026-07-23T08-45-18-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-rus@refs-pr-16-synthetic-rus_aeh3atvjkTznSMrUBWns6L.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,rus,500,207,235,21,214,0
logs/2026-07-23T08-45-18-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ukr@refs-pr-16-synthetic-ukr_CdUdFh6BdRD4L6tGpAzoie.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,ukr,500,269,318,6,312,0
logs/2026-07-23T08-45-18-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-zho@refs-pr-16-synthetic-zho_Y5hf2fky8JHEUnKTEru38K.eval,vllm/Qwen/Qwen2.5-0.5B-Instruct,zho,500,200,203,48,155,0
logs/2026-07-23T10-18-20-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-dan@refs-pr-16-synthetic-dan_EDgFhGz7SgTmtJNggneNaM.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,dan,500,333,337,67,270,0
logs/2026-07-23T10-18-20-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-eng@refs-pr-16-synthetic-eng_Z5mVm6YNPc3vJYP5EuijcG.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,eng,500,424,424,267,157,0
logs/2026-07-23T11-14-01-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-dan@refs-pr-16-synthetic-dan_RNNYMFdYXiXbGkk9ALf6Xi.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,dan,500,336,343,74,269,0
logs/2026-07-23T11-14-01-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-deu@refs-pr-16-synthetic-deu_GkPi5h9N5YDBi755sGNnz4.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,deu,500,438,439,177,262,0
logs/2026-07-23T11-14-01-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-eng@refs-pr-16-synthetic-eng_Y8sgL3UKeMbNNsbRNgyyXu.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,eng,500,420,421,269,152,0
logs/2026-07-23T11-14-02-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ara@refs-pr-16-synthetic-ara_nsMwRth3WscLe6ansd5t3E.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,ara,500,302,312,63,249,0
logs/2026-07-23T11-14-02-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-fra@refs-pr-16-synthetic-fra_L22QVLdVdviJk7D6eYqY24.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,fra,500,294,306,105,201,0
logs/2026-07-23T11-14-02-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-hin@refs-pr-16-synthetic-hin_hF7EnwQpjnMTBsBoj5r3nU.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,hin,500,184,290,23,267,0
logs/2026-07-23T11-14-02-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@refs-pr-16-synthetic-isl_j2bvLG9nJ2HPP6pm8fQH5B.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,isl,500,174,238,11,227,0
logs/2026-07-23T11-14-02-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ita@refs-pr-16-synthetic-ita_TmCPHKq2Z2QxFtVARBbvUQ.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,ita,500,382,387,162,225,0
logs/2026-07-23T11-14-02-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-mar@refs-pr-16-synthetic-mar_mr9W79dEQcczqsFFLLNrMY.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,mar,500,182,325,3,322,0
logs/2026-07-23T11-14-02-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-nld@refs-pr-16-synthetic-nld_5bpqx3hGwpWT5xf79N3ace.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,nld,500,386,395,134,261,0
logs/2026-07-23T11-14-03-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-est@refs-pr-16-synthetic-est_8H3TmEv4P52bSSaFfjEps3.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,est,500,323,365,11,354,0
logs/2026-07-23T11-14-03-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-jpn@refs-pr-16-synthetic-jpn_VFzJ5Ju484u87oAxRVjyvP.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,jpn,500,295,303,109,194,0
logs/2026-07-23T11-14-03-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-rus@refs-pr-16-synthetic-rus_njnDgHSqtSaW4hvMVo4ULu.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,rus,500,345,347,136,211,0
logs/2026-07-23T11-14-03-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ukr@refs-pr-16-synthetic-ukr_QvEBHQLvHvXzSrGQTxod4k.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,ukr,500,343,351,96,255,0
logs/2026-07-23T11-14-03-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-zho@refs-pr-16-synthetic-zho_hesQu49LFXYBL72zUcq7s3.eval,vllm/Qwen/Qwen2.5-1.5B-Instruct,zho,500,191,191,93,98,0
logs/2026-07-23T13-05-04-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-dan@refs-pr-16-synthetic-dan_FcW8W4Lkrs3o5kqkDfEwhJ.eval,vllm/Qwen/Qwen2.5-3B-Instruct,dan,500,485,486,277,209,0
logs/2026-07-23T13-05-04-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-eng@refs-pr-16-synthetic-eng_iCEgWLuZJGvN4NpGT3cNdj.eval,vllm/Qwen/Qwen2.5-3B-Instruct,eng,500,500,500,415,85,0
logs/2026-07-23T13-05-05-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-deu@refs-pr-16-synthetic-deu_YLXgYdLbqr9byyrhan8qFa.eval,vllm/Qwen/Qwen2.5-3B-Instruct,deu,500,496,496,315,181,0
logs/2026-07-23T13-05-05-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@refs-pr-16-synthetic-isl_6DUcSZoGC5jmrFU6eYdXyX.eval,vllm/Qwen/Qwen2.5-3B-Instruct,isl,500,332,353,63,290,0
logs/2026-07-23T13-05-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ara@refs-pr-16-synthetic-ara_5Q5fMkJFk9k9PfryJvjfqF.eval,vllm/Qwen/Qwen2.5-3B-Instruct,ara,500,496,496,300,196,0
logs/2026-07-23T13-05-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-fra@refs-pr-16-synthetic-fra_48KREDD7wrgS4iCJbayZGe.eval,vllm/Qwen/Qwen2.5-3B-Instruct,fra,500,500,500,361,139,0
logs/2026-07-23T13-05-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-hin@refs-pr-16-synthetic-hin_CW9atRiaEkAw9aBxCJaSi7.eval,vllm/Qwen/Qwen2.5-3B-Instruct,hin,500,494,495,200,295,0
logs/2026-07-23T13-05-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ita@refs-pr-16-synthetic-ita_Zc4Hy4XBvrcSby9Q49gWN7.eval,vllm/Qwen/Qwen2.5-3B-Instruct,ita,500,500,500,347,153,0
logs/2026-07-23T13-05-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-mar@refs-pr-16-synthetic-mar_D7AXBubYvav8AWwLTY5ZzC.eval,vllm/Qwen/Qwen2.5-3B-Instruct,mar,500,481,492,72,420,0
logs/2026-07-23T13-05-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-est@refs-pr-16-synthetic-est_fpVpri4YgGKwTPoyMWx5W6.eval,vllm/Qwen/Qwen2.5-3B-Instruct,est,500,401,419,76,343,0
logs/2026-07-23T13-05-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-jpn@refs-pr-16-synthetic-jpn_fJHUo5pUCRnJP8SDJbCBPP.eval,vllm/Qwen/Qwen2.5-3B-Instruct,jpn,500,498,498,284,214,0
logs/2026-07-23T13-05-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-nld@refs-pr-16-synthetic-nld_nbhpTdDvLBYDRbwavtkDq2.eval,vllm/Qwen/Qwen2.5-3B-Instruct,nld,500,468,468,304,164,0
logs/2026-07-23T13-05-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-rus@refs-pr-16-synthetic-rus_kqv9WCfPm8eweon2aQ6LY8.eval,vllm/Qwen/Qwen2.5-3B-Instruct,rus,500,497,497,331,166,0
logs/2026-07-23T13-05-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ukr@refs-pr-16-synthetic-ukr_i62YVZckazUYh6KhhKY2RN.eval,vllm/Qwen/Qwen2.5-3B-Instruct,ukr,500,496,496,287,209,0
logs/2026-07-23T13-05-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-zho@refs-pr-16-synthetic-zho_bdNQtZCGS9f9tSCMWfz8cy.eval,vllm/Qwen/Qwen2.5-3B-Instruct,zho,500,498,498,368,130,0
logs/2026-07-23T14-06-05-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-dan@refs-pr-16-synthetic-dan_48iT5wrSrMfT3swqsHDFui.eval,vllm/Qwen/Qwen2.5-7B-Instruct,dan,500,500,500,414,86,0
logs/2026-07-23T14-06-05-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-deu@refs-pr-16-synthetic-deu_juLGtUa7r8KbGHS77YGtZz.eval,vllm/Qwen/Qwen2.5-7B-Instruct,deu,500,500,500,400,100,0
logs/2026-07-23T14-06-05-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-eng@refs-pr-16-synthetic-eng_4JxEW6LpTZT8UXpC7PdQ5j.eval,vllm/Qwen/Qwen2.5-7B-Instruct,eng,500,500,500,462,38,0
logs/2026-07-23T14-06-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ara@refs-pr-16-synthetic-ara_3kD4MGXBbEw7raBqHEU3zT.eval,vllm/Qwen/Qwen2.5-7B-Instruct,ara,500,499,499,391,108,0
logs/2026-07-23T14-06-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-fra@refs-pr-16-synthetic-fra_fBUgLKmawY5mAiXMN9f2Er.eval,vllm/Qwen/Qwen2.5-7B-Instruct,fra,500,500,500,423,77,0
logs/2026-07-23T14-06-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-hin@refs-pr-16-synthetic-hin_6nAaBhprSkgYZAQEDkATg5.eval,vllm/Qwen/Qwen2.5-7B-Instruct,hin,500,500,500,347,153,0
logs/2026-07-23T14-06-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@refs-pr-16-synthetic-isl_gvEP4pSmVL4qyTcuzwJREB.eval,vllm/Qwen/Qwen2.5-7B-Instruct,isl,500,500,500,219,281,0
logs/2026-07-23T14-06-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ita@refs-pr-16-synthetic-ita_PVDCicnCMLGxHAg6zpwn3r.eval,vllm/Qwen/Qwen2.5-7B-Instruct,ita,500,500,500,437,63,0
logs/2026-07-23T14-06-06-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-nld@refs-pr-16-synthetic-nld_7YDmyfVZd8h3HB4csCpU2t.eval,vllm/Qwen/Qwen2.5-7B-Instruct,nld,500,500,500,405,95,0
logs/2026-07-23T14-06-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-est@refs-pr-16-synthetic-est_4jpfw6iCYKqZVRC49mciAw.eval,vllm/Qwen/Qwen2.5-7B-Instruct,est,500,497,499,295,204,0
logs/2026-07-23T14-06-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-jpn@refs-pr-16-synthetic-jpn_SQ5t4UscJe3bXTyvZDcygx.eval,vllm/Qwen/Qwen2.5-7B-Instruct,jpn,500,500,500,385,115,0
logs/2026-07-23T14-06-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-rus@refs-pr-16-synthetic-rus_JcKP29na4Vvu5rFHSaNFxP.eval,vllm/Qwen/Qwen2.5-7B-Instruct,rus,500,500,500,401,99,0
logs/2026-07-23T14-06-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ukr@refs-pr-16-synthetic-ukr_fhEKA3fiAUsUULWnVwFAZz.eval,vllm/Qwen/Qwen2.5-7B-Instruct,ukr,500,499,499,386,113,0
logs/2026-07-23T14-06-07-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-zho@refs-pr-16-synthetic-zho_8ebPFjpWXr9a3dXy4Mi26P.eval,vllm/Qwen/Qwen2.5-7B-Instruct,zho,500,500,500,408,92,0
logs/2026-07-23T15-02-33-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-eng@refs-pr-16-synthetic-eng_XQBvhaoTNQKtW5v2w99PmR.eval,vllm/Qwen/Qwen2.5-14B-Instruct,eng,500,500,500,476,24,0
logs/2026-07-23T15-02-34-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-dan@refs-pr-16-synthetic-dan_MwqXea7brJf8Ngp6KrTtAQ.eval,vllm/Qwen/Qwen2.5-14B-Instruct,dan,500,500,500,435,65,0
logs/2026-07-23T15-02-34-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-deu@refs-pr-16-synthetic-deu_ircvekxK64eBBk7zu8Ug6q.eval,vllm/Qwen/Qwen2.5-14B-Instruct,deu,500,500,500,435,65,0
logs/2026-07-23T15-02-34-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-isl@refs-pr-16-synthetic-isl_5YZbLhFkSPXtz9V9cnMamr.eval,vllm/Qwen/Qwen2.5-14B-Instruct,isl,500,500,500,358,142,0
logs/2026-07-23T15-02-35-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ara@refs-pr-16-synthetic-ara_3kSFk2KKUhPv7KQj7WuZU3.eval,vllm/Qwen/Qwen2.5-14B-Instruct,ara,500,500,500,467,33,0
logs/2026-07-23T15-02-35-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-fra@refs-pr-16-synthetic-fra_akoKJM8H3xfrvLHe5qGPx4.eval,vllm/Qwen/Qwen2.5-14B-Instruct,fra,500,500,500,451,49,0
logs/2026-07-23T15-02-35-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-hin@refs-pr-16-synthetic-hin_my3CTmJoFrua4stk3N493L.eval,vllm/Qwen/Qwen2.5-14B-Instruct,hin,500,500,500,399,101,0
logs/2026-07-23T15-02-35-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-mar@refs-pr-16-synthetic-mar_U54dbggx4STBrz7y5eo9Mp.eval,vllm/Qwen/Qwen2.5-14B-Instruct,mar,500,500,500,321,179,0
logs/2026-07-23T15-02-36-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ita@refs-pr-16-synthetic-ita_GaJLNDveBpnkZ3WCgqACn9.eval,vllm/Qwen/Qwen2.5-14B-Instruct,ita,500,500,500,461,39,0
logs/2026-07-23T15-02-36-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-nld@refs-pr-16-synthetic-nld_VUstDirWmQ7rR6cdhVok2T.eval,vllm/Qwen/Qwen2.5-14B-Instruct,nld,500,500,500,436,64,0
logs/2026-07-23T15-02-36-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-rus@refs-pr-16-synthetic-rus_S5qMywo4dC7pbhULQste82.eval,vllm/Qwen/Qwen2.5-14B-Instruct,rus,500,500,500,429,71,0
logs/2026-07-23T15-02-36-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-zho@refs-pr-16-synthetic-zho_EsRaU4mUHrUC6cNzrVHpTS.eval,vllm/Qwen/Qwen2.5-14B-Instruct,zho,500,500,500,451,49,0
logs/2026-07-23T15-02-37-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-est@refs-pr-16-synthetic-est_8ikVzoV2WVJj7SwM5oqKzj.eval,vllm/Qwen/Qwen2.5-14B-Instruct,est,500,500,500,381,119,0
logs/2026-07-23T15-02-37-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-jpn@refs-pr-16-synthetic-jpn_mo9iZp6WnE5Vovcu8TBvMv.eval,vllm/Qwen/Qwen2.5-14B-Instruct,jpn,500,500,500,431,69,0
logs/2026-07-23T15-02-37-00-00_hf-danish-foundation-models-multilingual-gsm-symbolic-synthetic-ukr@refs-pr-16-synthetic-ukr_hH7kvrYBfSWyhQ9uEYgELm.eval,vllm/Qwen/Qwen2.5-14B-Instruct,ukr,500,500,499,433,66,0
