model,base_model,reasoning,family,language,puzzle,truncated,n_correct_cells,n_cells,solved,params_b,log10_resource
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,510,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,890,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,549,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,189,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,411,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,573,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,34,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,250,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,993,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,342,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,293,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,422,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,450,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,727,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,116,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,355,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,434,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,129,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,883,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,475,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,196,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,607,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,1020,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,415,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,875,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,750,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,983,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,433,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,682,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,1006,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,995,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,862,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,404,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,333,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,763,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,41,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,412,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,43,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,802,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,57,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,262,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,579,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,99,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,632,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,392,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,51,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,925,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,341,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,299,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,281,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,879,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,822,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,285,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,488,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,190,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,92,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,357,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,11,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,723,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,887,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,615,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,747,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,630,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,916,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,532,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,595,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,550,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,724,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,157,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,401,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,659,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,818,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,748,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,928,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,823,0,3,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,339,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,505,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,210,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,888,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,28,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,685,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,375,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,828,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,108,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,667,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,793,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,410,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,673,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,909,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,48,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,774,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,133,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,957,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,706,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,948,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,425,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,734,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,1013,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,294,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,4,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,628,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,954,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,1010,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,744,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,701,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,721,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,788,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,38,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,658,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,776,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,799,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,858,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,473,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,125,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,906,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,719,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,419,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,804,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,644,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,649,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,354,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,284,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,816,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,376,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,647,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,324,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,503,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,905,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,423,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,481,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,471,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,525,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,810,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,623,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,88,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,530,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,807,0,1,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,103,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,670,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,803,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,24,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,755,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,164,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,118,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,100,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,54,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,442,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,495,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,606,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,641,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,145,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,585,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,31,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,202,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,465,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,504,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,154,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,765,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,559,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,429,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,688,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,929,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,137,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,899,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,696,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,484,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,435,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,801,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,361,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,945,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,877,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,214,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,655,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,582,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,640,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,283,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,426,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,181,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,988,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,15,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,772,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,142,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,163,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,140,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,552,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,962,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,922,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,953,0,6,6,1,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,565,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,478,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,767,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,246,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,563,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,263,0,2,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,245,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,167,0,4,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,545,0,0,6,0,27.781,7.0571
Qwen3.5-27B (reasoning off),Qwen3.5-27B,off,Qwen3.5,dan,616,0,4,6,0,27.781,7.0571
